store_id,store_address,product_id,sku_id,master_product_id,name,trademark,presentation,price,in_stock,category_name,cold_beer
166964,,2114272858,166964_2114272858,0,6 x Sixpack Schneider Cerveza Rubia,,,13540.5,True,Cervezas,False
166964,,2114272845,166964_2114272845,0,6 x Stella Artois 0.0%,,,17050.5,True,Cervezas,False
166964,,2114632986,166964_2114632986,0,6 x Patagonia Lager del Sur 473 mL,,,25735.5,True,Cervezas,False
166964,,2114272844,166964_2114272844,0,6 x Patagonia Vera Ipa,,,16377,True,Cervezas,False
166964,,2114272857,166964_2114272857,0,6 x Sixpack Miller Cerveza,,,23874,True,Cervezas,False
166964,,2114272842,166964_2114272842,0,6 x Patagonia Cerveza Amber Lager,,,25690.5,True,Cervezas,False
166964,,2114272854,166964_2114272854,0,6 x Sixpack Grolsch Cerveza,,,26994,True,Cervezas,False
166964,,2114272856,166964_2114272856,0,6 x Sixpack Imperial Cerveza Golden,,,21534,True,Cervezas,False
166964,,2114641634,166964_2114641634,0,6 x Miller Genuine Draft 710 mL,,,29829.9,True,Cervezas,False
166964,,2114272839,166964_2114272839,0,6 x Quilmes 0.0% Cerveza Rubia,,,9949.8,True,Cervezas,False
166964,,2114641635,166964_2114641635,0,6 x Schneider Lager 710 mL,,,17234.1,True,Cervezas,False
166964,,2114632984,166964_2114632984,0,4 x Stella Artois Premium Lager 710 mL,,,17729.4,True,Cervezas,False
166964,,2114632988,166964_2114632988,0,6 x Andes Origen Oro 473 mL,,,15835.5,True,Cervezas,False
166964,,2114633688,166964_2114633688,0,6 x Imperial APA 47 3mL,,,22914,True,Cervezas,False
166964,,2114272829,166964_2114272829,0,6 x Quilmes Cerveza Stout,,,10256.4,True,Cervezas,False
166964,,2114632982,166964_2114632982,0,4 x Budweiser 710 mL,,,14652.8,True,Cervezas,False
166964,,2114641639,166964_2114641639,0,6 x Salta Cautiva Session 473 mL,,,21174,True,Cervezas,False
166964,,2115221134,166964_2115221134,1014217,Warsteiner Cerveza 330 ml,,1 x 330 mL,3509,True,Cervezas,False
184221,,2539095,184221_2539095,188850,Corona Cerveza Rubia,Corona,1 X 710 mL,5857.5,True,Cervezas,True
184221,,2469372,184221_2469372,428367,Heineken Cerveza Rubia,Heineken,1 X 473 mL,3900.65,True,Cervezas,True
184221,,2113858947,184221_2113858947,532007,Cerveza Quilmes Ipa 473 cc,Quilmes,1 X 473 mL,2859,True,Cervezas,False
184221,,2482871,184221_2482871,162208,Corona Cerveza Tipo Lager 330 ml,Corona,1 X 330.0 mL,3741.75,True,Cervezas,False
184221,,1074483987,184221_1074483987,96872,Heineken Cerveza Rubia en Lata,Heineken,1 X 710.0 mL,5898.15,True,Cervezas,False
184221,,2114120281,184221_2114120281,156789,Schneider Cerveza Lager,Schneider,1 X 710 mL,2872.35,True,Cervezas,False
184221,,2482872,184221_2482872,442634,Cerveza Andes Origen Ipa 473 cc,Andes Origen,1 X 473.0 mL,2804.25,True,Cervezas,True
